69,48,26,39
71,47,29,40
69,49,31,41
69,47,23,41
72,49,26,42
72,48,27,41
70,49,25,39
71,48,25,44
72,48,23,42
73,48,30,41
71,50,24,40
72,49,29,43
73,51,28,41
74,51,30,41
73,52,27,39
77,50,27,38
78,52,30,41
76,49,27,35
80,52,27,38
79,50,27,39
81,49,28,38
85,50,28,40
89,53,28,36
91,54,26,38
92,52,29,43
96,56,28,37
102,57,30,43
106,56,29,36
111,59,32,40
110,56,30,37
117,59,31,33
119,60,28,36
123,59,29,30
128,61,26,39
129,60,26,39
132,61,26,34
133,57,29,39
136,59,23,35
137,57,22,31
136,58,27,36
141,61,24,32
140,61,27,31
139,58,25,36
141,61,25,34
139,61,25,34
140,59,22,35
140,59,21,39
138,60,21,35
138,58,22,33
139,60,25,38
140,58,23,35
140,61,23,37
139,61,28,34
140,59,25,31
141,61,21,31
140,59,28,33
141,60,28,30
139,60,24,33
141,61,28,37
141,60,28,36
139,61,28,38
141,61,27,34
138,60,27,37
139,62,22,33
142,59,22,31
140,59,21,35
139,62,27,36
141,60,25,34
142,60,21,34
139,62,24,35
143,62,23,31
139,60,28,36
141,60,29,39
143,59,22,32
143,60,28,32
141,62,23,36
142,60,25,37
143,63,23,37
144,63,25,34
142,60,25,33
141,60,22,29
141,62,23,37
140,62,23,36
143,62,24,36
142,59,28,34
141,61,24,38
138,59,26,35
137,58,28,38
133,60,25,38
136,60,24,33
133,61,28,30
131,58,29,33
127,61,29,32
125,60,26,32
122,59,26,31
122,59,27,33
115,59,29,33
112,59,27,30
109,58,32,35
107,61,28,34
101,60,27,35
101,60,27,33
96,56,31,34
91,57,30,35
89,54,30,33
85,54,32,34
81,56,30,32
80,55,29,30
77,56,25,32
77,55,24,38
71,54,23,37
70,54,30,35
69,54,24,34
68,55,26,38
67,54,24,36
66,55,27,30
66,56,24,31
69,55,22,33
67,57,26,36
67,53,27,33
69,56,29,37
70,55,23,34
70,54,29,34
70,55,24,32
70,56,28,36
69,56,22,37
69,57,25,36
70,55,25,31
71,56,20,35
73,55,25,33
72,57,26,30
71,56,23,31
73,57,25,30
71,54,27,33
